,Name,Team,BYE,Pos,ADP,FantasyPros,Sleeper ADP,SleepvFP,Landmine,Round,Pick
,Terry McLaurin,WAS,12,WR,38,38,42,0.11,5.7,,42
,Davante Adams,LAR,8,WR,44,32,43,0.34,5.6,,43
,Kenneth Walker,SEA,8,RB,41,42,44,0.05,5.8,,44
,DK Metcalf,PIT,5,WR,48,46,45,-0.02,6.2,,45
,Chuba Hubbard,CAR,14,RB,47,50,46,-0.08,6.2,,46
,Sam LaPorta,DET,8,TE,50,70,47,-0.33,7.0,,47
,James Conner,ARI,8,RB,45,51,48,-0.06,6.0,,48
,Rashee Rice,KC,10,WR,76,71,49,-0.31,8.0,5,49
,DJ Moore,CHI,5,WR,49,40,50,0.25,5.6,,50
,Patrick Mahomes,KC,10,QB,52,60,51,-0.15,6.4,,51
,Courtland Sutton,DEN,12,WR,51,44,52,0.18,5.6,,52
,DeVonta Smith,PHI,9,WR,57,48,53,0.10,6.0,,53
,David Montgomery,DET,8,RB,60,65,54,-0.17,6.7,,54
,TreVeyon Henderson,NE,14,RB,46,52,55,0.06,5.5,,55
,Zay Flowers,BAL,7,WR,64,57,56,-0.02,6.4,,56
,Xavier Worthy,KC,10,WR,55,53,57,0.08,5.8,,57
,T.J. Hockenson,MIN,6,TE,65,63,58,-0.08,6.5,,58
,George Pickens,DAL,10,WR,59,56,59,0.05,5.9,,59
,Isiah Pacheco,KC,10,RB,56,67,60,-0.10,6.1,,60
,Travis Kelce,KC,10,TE,62,75,61,-0.19,6.6,6,61
,Jameson Williams,DET,8,WR,63,58,62,0.07,5.9,,62
,Tetairoa McMillan,CAR,14,WR,53,49,63,0.29,5.0,,63
,RJ Harvey,DEN,12,RB,54,62,64,0.03,5.5,,64
,Baker Mayfield,TB,9,QB,71,69,65,-0.06,6.4,,65
,Travis Hunter,JAC,8,WR,69,68,66,-0.03,6.2,,66
,Aaron Jones,MIN,6,RB,68,66,67,0.02,6.0,,67
,D'Andre Swift,CHI,5,RB,61,61,68,0.11,5.4,,68
,Jaylen Waddle,MIA,12,WR,67,54,69,0.28,5.3,,69
,Calvin Ridley,TEN,10,WR,66,55,70,0.27,5.2,,70
,Bo Nix,DEN,12,QB,72,73,71,-0.03,6.1,,71
,Mark Andrews,BAL,7,TE,70,87,72,-0.17,6.5,,72
,Joe Mixon,HOU,6,RB,102,134,73,-0.46,9.6,7,73
,Tony Pollard,TEN,10,RB,58,59,74,0.25,4.8,,74
,Jerry Jeudy,CLE,9,WR,78,72,75,0.04,6.0,,75
,Chris Olave,NO,11,WR,73,64,76,0.19,5.4,,76
,Evan Engram,DEN,12,TE,81,85,77,-0.09,6.5,,77
,Kaleb Johnson,PIT,5,RB,74,86,78,-0.09,6.2,,78
,Quinshon Judkins,CLE,9,RB,119,137,79,-0.42,9.9,,79
,Rome Odunze,CHI,5,WR,79,74,80,0.08,5.7,,80
,Jakobi Meyers,LV,8,WR,88,82,81,-0.01,6.3,,81
,Deebo Samuel,WAS,12,WR,85,94,82,-0.13,6.6,,82
,David Njoku,CLE,9,TE,87,84,83,-0.01,6.2,,83
,Jordan Addison,MIN,6,WR,95,92,84,-0.09,6.8,,84
,Cooper Kupp,SEA,8,WR,92,106,85,-0.20,7.1,8,85
,Tyler Warren,IND,11,TE,83,103,86,-0.17,6.6,,86
,Stefon Diggs,NE,14,WR,82,76,87,0.14,5.4,,87
,Jared Goff,DET,8,QB,118,104,88,-0.15,7.8,,88
,Tyrone Tracy,NYG,14,RB,80,80,89,0.11,5.3,,89
