player_id,name,pos,team,games,ep_std,ppg_std,gap_std,gapc_std,ep_half,ppg_half,gap_half,gapc_half,ep_ppr,ppg_ppr,gap_ppr,gapc_ppr,td_luck_pg,tgt_pg,tgt_share,carry_pg
00-0035406,Lil'Jordan Humphrey,WR,DEN,7,4.08,2.71,-1.37,-0.83,5.09,3.64,-1.45,-0.99,6.1,4.57,-1.53,-1.08,-0.104,3.57,0.11,0.0
00-0035500,Greg Dortch,WR,ARI,12,2.67,3.25,0.58,1.12,3.76,4.46,0.7,1.16,4.86,5.67,0.81,1.26,0.198,2.75,0.07,0.58
00-0035535,Darius Slayton,WR,NYG,14,5.06,4.07,-0.99,-0.45,6.37,5.39,-0.98,-0.52,7.69,6.71,-0.98,-0.53,-0.159,4.5,0.15,0.0
00-0035537,Ty Johnson,RB,BUF,17,4.09,3.82,-0.27,0.48,4.87,4.53,-0.34,0.3,5.64,5.24,-0.4,0.21,-0.005,1.94,0.07,2.94
00-0035602,Alex Bachman,WR,LV,3,0.65,0.0,-0.65,-0.11,1.02,0.33,-0.69,-0.23,1.39,0.67,-0.72,-0.27,-0.003,0.27,0.01,0.0
00-0035628,D'Ernest Johnson,RB,NE,5,1.83,0.2,-1.63,-0.88,1.83,0.2,-1.63,-0.98,1.83,0.2,-1.63,-1.01,-0.094,0.0,0.0,2.8
00-0035631,Drew Sample,TE,CIN,11,1.22,1.09,-0.13,0.07,1.93,1.77,-0.16,-0.01,2.65,2.45,-0.2,-0.07,0.054,1.67,0.05,0.08
00-0035640,DK Metcalf,WR,PIT,15,7.82,8.13,0.31,0.85,9.93,10.1,0.17,0.63,12.04,12.07,0.03,0.48,0.027,6.6,0.22,0.13
00-0035644,Noah Fant,TE,CIN,13,2.89,2.62,-0.27,-0.07,4.06,3.92,-0.14,0.01,5.23,5.23,0.0,0.13,0.065,3.15,0.09,0.0
00-0035645,Gunner Olszewski,WR,NYG,5,3.25,4.8,1.55,2.09,4.01,5.8,1.79,2.25,4.76,6.8,2.04,2.49,0.182,0.81,0.03,0.0
00-0035659,Terry McLaurin,WR,WAS,10,6.82,7.1,0.28,0.82,8.46,9.0,0.54,1.0,10.09,10.9,0.81,1.26,-0.01,6.0,0.23,0.0
00-0035662,Marquise Brown,WR,KC,16,5.01,5.19,0.18,0.72,6.47,6.72,0.25,0.71,7.92,8.25,0.33,0.78,0.056,4.62,0.14,0.0
00-0035676,A.J. Brown,WR,PHI,15,8.84,9.07,0.23,0.77,11.33,11.67,0.34,0.8,13.82,14.27,0.45,0.9,0.111,8.07,0.29,0.0
00-0035685,David Montgomery,RB,DET,17,8.38,7.71,-0.67,0.08,9.05,8.41,-0.64,0.01,9.72,9.12,-0.6,0.02,-0.069,1.71,0.05,9.29
00-0035689,Dawson Knox,TE,BUF,16,3.89,3.81,-0.08,0.12,4.95,4.94,-0.01,0.14,6.01,6.06,0.05,0.18,-0.023,3.06,0.11,0.0
00-0035700,Josh Jacobs,RB,GB,15,12.85,12.67,-0.18,0.57,14.02,13.87,-0.15,0.5,15.2,15.07,-0.13,0.48,0.174,2.93,0.1,15.6
00-0035704,Drew Lock,QB,SEA,3,0.21,-0.67,-0.88,0.41,0.21,-0.67,-0.88,0.41,0.21,-0.67,-0.88,0.41,-0.003,0.0,0.0,2.0
00-0035710,Daniel Jones,QB,IND,13,18.29,16.54,-1.75,-0.46,18.29,16.54,-1.75,-0.46,18.29,16.54,-1.75,-0.46,-0.145,0.0,0.0,3.46
00-0035719,Deebo Samuel Sr.,WR,WAS,16,6.72,6.5,-0.22,0.32,8.96,8.75,-0.21,0.25,11.2,11.0,-0.2,0.25,0.057,6.19,0.25,1.06
00-0035876,Andre Baccellia,WR,ARI,2,1.4,0.0,-1.4,-0.86,2.22,0.5,-1.72,-1.26,3.03,1.0,-2.03,-1.58,-0.055,1.0,0.02,0.0
00-0035891,Cody White,WR,SEA,3,1.41,4.67,3.26,3.8,1.88,5.17,3.29,3.75,2.36,5.67,3.31,3.76,0.323,0.5,0.02,0.0
00-0035993,Tyler Huntley,QB,BAL,5,8.17,7.2,-0.97,0.32,8.17,7.2,-0.97,0.32,8.17,7.2,-0.97,0.32,-0.272,0.0,0.0,4.8
00-0036040,Juwan Johnson,TE,NO,17,5.04,5.53,0.49,0.69,7.05,7.79,0.74,0.89,9.07,10.06,0.99,1.12,0.055,6.0,0.18,0.0
00-0036133,James Proche,WR,TEN,6,1.66,0.83,-0.83,-0.29,2.21,1.33,-0.88,-0.42,2.75,1.83,-0.92,-0.47,-0.023,2.0,0.06,0.0
00-0036139,Rico Dowdle,RB,CAR,17,9.43,9.53,0.1,0.85,10.56,10.68,0.12,0.76,11.69,11.82,0.13,0.74,0.078,2.94,0.11,13.88
00-0036158,J.K. Dobbins,RB,DEN,10,9.69,9.7,0.01,0.76,10.28,10.25,-0.03,0.62,10.87,10.8,-0.07,0.54,0.018,1.4,0.05,15.3
00-0036165,Isaiah Hodgins,WR,NYG,6,3.97,2.5,-1.47,-0.93,4.82,3.33,-1.49,-1.03,5.68,4.17,-1.51,-1.06,-0.137,3.17,0.1,0.0
00-0036176,Mason Kinsey,WR,TEN,2,2.81,2.0,-0.81,-0.27,3.24,2.5,-0.74,-0.28,3.68,3.0,-0.68,-0.23,-0.115,0.67,0.02,0.0
00-0036182,Nick Westbrook-Ikhine,WR,MIA,9,1.71,0.56,-1.15,-0.61,2.51,1.17,-1.34,-0.88,3.32,1.78,-1.54,-1.09,-0.034,1.54,0.05,0.0
00-0036187,Reggie Gilliam,RB,BUF,3,2.1,0.67,-1.43,-0.68,2.29,1.0,-1.29,-0.64,2.49,1.33,-1.16,-0.54,-0.24,0.18,0.01,0.18
00-0036196,Gabe Davis,WR,BUF,6,4.13,3.0,-1.13,-0.59,5.05,4.0,-1.05,-0.59,5.97,5.0,-0.97,-0.52,-0.183,3.0,0.11,0.0
00-0036212,Tua Tagovailoa,QB,MIA,14,12.08,10.79,-1.29,0.0,12.08,10.79,-1.29,0.0,12.08,10.79,-1.29,0.0,0.229,0.0,0.0,1.43
00-0036223,Jonathan Taylor,RB,IND,17,15.28,17.82,2.54,3.29,16.58,19.18,2.6,3.24,17.87,20.53,2.66,3.28,0.268,3.24,0.11,19.0
00-0036232,Harrison Bryant,TE,HOU,4,1.6,0.0,-1.6,-1.4,2.09,0.25,-1.84,-1.69,2.57,0.5,-2.07,-1.94,-0.052,1.2,0.04,0.0
00-0036244,Colby Parkinson,TE,LA,14,5.7,5.86,0.16,0.36,7.18,7.39,0.21,0.36,8.65,8.93,0.28,0.41,0.061,4.0,0.12,0.0
00-0036252,Michael Pittman,WR,IND,17,6.9,6.76,-0.14,0.4,9.14,9.12,-0.02,0.44,11.38,11.47,0.09,0.54,0.101,6.53,0.21,0.0
00-0036259,Jauan Jennings,WR,SF,15,7.33,7.47,0.14,0.68,9.22,9.3,0.08,0.54,11.12,11.13,0.01,0.46,0.167,6.0,0.2,0.0
00-0036264,Jordan Love,QB,GB,15,15.19,14.67,-0.52,0.77,15.19,14.67,-0.52,0.77,15.19,14.67,-0.52,0.77,-0.019,0.0,0.0,3.13
00-0036265,AJ Dillon,RB,PHI,6,1.58,0.5,-1.08,-0.33,1.76,0.75,-1.01,-0.36,1.95,1.0,-0.95,-0.34,-0.055,0.5,0.02,2.0
00-0036275,D'Andre Swift,RB,CHI,16,11.01,11.25,0.24,0.99,12.19,12.31,0.12,0.76,13.37,13.38,0.01,0.62,0.114,3.0,0.09,13.94
00-0036290,Cole Kmet,TE,CHI,16,3.22,2.62,-0.6,-0.4,4.21,3.56,-0.65,-0.5,5.21,4.5,-0.71,-0.58,0.0,3.0,0.1,0.0
00-0036309,Darnell Mooney,WR,ATL,15,5.64,2.93,-2.71,-2.17,7.03,4.0,-3.03,-2.57,8.41,5.07,-3.34,-2.89,-0.139,4.8,0.16,0.0
00-0036322,Justin Jefferson,WR,MIN,17,9.46,6.47,-2.99,-2.45,12.03,8.94,-3.09,-2.63,14.6,11.41,-3.19,-2.74,-0.385,8.29,0.31,0.12
00-0036328,Antonio Gibson,RB,NE,5,3.55,3.6,0.05,0.8,3.8,3.8,0.0,0.64,4.05,4.0,-0.05,0.56,-0.002,0.6,0.02,5.0
00-0036331,Devin Duvernay,WR,CHI,3,2.38,0.67,-1.71,-1.17,2.8,1.0,-1.8,-1.34,3.22,1.33,-1.89,-1.44,-0.21,0.29,0.01,0.0
00-0036332,Josiah Deguara,TE,ARI,4,1.22,1.75,0.53,0.73,1.66,2.12,0.46,0.61,2.09,2.5,0.41,0.54,0.172,0.71,0.02,0.0
