year,pid,name,pos,pred
2024,00-0035704,Drew Lock,QB,9.13
2024,00-0035710,Daniel Jones,QB,6.52
2024,00-0035993,Tyler Huntley,QB,3.35
2024,00-0036212,Tua Tagovailoa,QB,15.62
2024,00-0036264,Jordan Love,QB,16.81
2024,00-0036355,Justin Herbert,QB,16.74
2024,00-0036389,Jalen Hurts,QB,17.77
2024,00-0036442,Joe Burrow,QB,15.94
2024,00-0036898,Davis Mills,QB,6.79
2024,00-0036945,Justin Fields,QB,14.39
2024,00-0036971,Trevor Lawrence,QB,16.22
2024,00-0036972,Mac Jones,QB,6.37
2024,00-0037013,Zach Wilson,QB,7.5
2024,00-0037077,Sam Howell,QB,8.29
2024,00-0037834,Brock Purdy,QB,12.14
2024,00-0038102,Kenny Pickett,QB,6.56
2024,00-0038108,Bailey Zappe,QB,4.14
2024,00-0038122,Desmond Ridder,QB,6.13
2024,00-0038416,Tyson Bagent,QB,8.26
2024,00-0038476,Tommy DeVito,QB,9.7
2024,00-0038579,Aidan O'Connell,QB,9.2
2024,00-0038583,Dorian Thompson-Robinson,QB,6.0
2024,00-0039150,Bryce Young,QB,13.38
2024,00-0039152,Will Levis,QB,11.49
2024,00-0039163,C.J. Stroud,QB,15.51
2024,00-0039164,Anthony Richardson,QB,13.94
2024,00-0031687,Raheem Mostert,RB,8.37
2024,00-0032764,Derrick Henry,RB,9.15
2024,00-0033045,Ezekiel Elliott,RB,6.08
2024,00-0033280,Christian McCaffrey,RB,14.85
2024,00-0033293,Aaron Jones,RB,6.53
2024,00-0033526,Samaje Perine,RB,4.04
2024,00-0033553,James Conner,RB,9.6
2024,00-0033699,Austin Ekeler,RB,6.43
2024,00-0033897,Joe Mixon,RB,8.87
2024,00-0033906,Alvin Kamara,RB,9.4
2024,00-0033923,Kareem Hunt,RB,3.6
2024,00-0033925,D'Onta Foreman,RB,4.77
2024,00-0033948,Jamaal Williams,RB,4.42
2024,00-0034115,Jeff Wilson,RB,3.02
2024,00-0034184,Gus Edwards,RB,5.3
2024,00-0034838,Royce Freeman,RB,1.86
2024,00-0034844,Saquon Barkley,RB,11.76
2024,00-0034972,Alexander Mattison,RB,4.93
2024,00-0034975,Justice Hill,RB,5.12
2024,00-0035243,Miles Sanders,RB,5.13
2024,00-0035250,Devin Singletary,RB,7.17
2024,00-0035261,Tony Pollard,RB,7.72
2024,00-0035537,Ty Johnson,RB,2.12
2024,00-0035685,David Montgomery,RB,9.89
2024,00-0035700,Josh Jacobs,RB,9.17
2024,00-0035860,Tony Jones,RB,1.19
2024,00-0036020,Salvon Ahmed,RB,1.47
2024,00-0036139,Rico Dowdle,RB,4.42
2024,00-0036223,Jonathan Taylor,RB,10.98
2024,00-0036251,Zack Moss,RB,7.46
2024,00-0036265,AJ Dillon,RB,5.51
2024,00-0036275,D'Andre Swift,RB,9.29
2024,00-0036297,Darrynton Evans,RB,2.05
