player,team,pos,espn,sleeper_std,sleeper_half,sleeper_ppr,ffc_std,ffc_half,ffc_ppr
Kyler Murray,MIN,QB,142,171,134,141,145.2,136.3,134.2
Keaton Mitchell,LAC,RB,197,166,146,157,152.6,158.9,158.3
Emmett Johnson,KC,RB,,124,172,180,,149.0,160.1
Rashid Shaheed,SEA,WR,153,179,136,134,108.9,119.3,128.6
Matthew Golden,GB,WR,94,176,119,119,94.7,102.3,107.1
Tank Bigsby,PHI,RB,203,163,147,155,152.1,153.5,162.8
Theo Johnson,NYG,TE,,161,239,215,,,
Braelon Allen,NYJ,RB,,148,165,177,142.9,160.1,157.8
Mike Washington,LV,RB,166,153,143,150,148.9,153.5,146.7
Deebo Samuel,SF,WR,122,152,127,126,93.6,100.5,105.8
Aaron Rodgers,PIT,QB,204,252,204,207,,,170.7
Omar Cooper,NYJ,WR,,167,166,166,,,164.2
Sam Darnold,SEA,QB,162,188,160,153,150.8,148.8,144.1
C.J. Stroud,HOU,QB,173,184,182,175,164.9,160.9,157.7
Jerry Jeudy,CLE,WR,174,177,188,165,126.3,125.2,127.6
Austin Ekeler,,RB,335,397,654,1615,,,
Denzel Boston,CLE,WR,176,170,142,147,137.3,140.9,138.3
Justice Hill,BAL,RB,,1823,194,2375,,,170.8
Geno Smith,NYJ,QB,,1256,229,2084,,,184.1
Kayshon Boutte,NE,WR,,182,180,194,157.0,164.9,163.4
Gunnar Helm,TEN,TE,,169,212,218,,,
AJ Barner,SEA,TE,212,139,171,159,,,158.9
Jalen McMillan,TB,WR,186,183,173,182,131.1,134.8,134.1
Calvin Ridley,TEN,WR,188,201,220,279,133.8,138.6,145.8
Tyreek Hill,,WR,230,162,191,183,,,
Malik Washington,MIA,WR,,2142,158,152,150.8,147.0,148.1
Cade Otton,TB,TE,,164,213,221,,,
Sean Tucker,TB,RB,,172,218,251,,,
Carson Beck,ARI,QB,346,612,985,1723,,,
Antonio Williams,WAS,WR,,173,215,224,,,
George Holani,SEA,RB,,1261,1053,2088,,,
Nicholas Singleton,TEN,RB,,185,174,181,,,
Kirk Cousins,LV,QB,374,1977,922,2468,,,
Kimani Vidal,LAC,RB,,156,208,227,157.0,,162.1
Greg Dulcich,MIA,TE,,1284,210,210,,,177.3
Cam Ward,TEN,QB,201,212,199,204,,163.6,168.1
MarShawn Lloyd,GB,RB,191,2199,144,173,153.8,162.1,153.0
Jalen Nailor,LV,WR,,220,148,158,139.0,145.5,151.9
Joe Mixon,,RB,283,181,791,203,,,
Kaytron Allen,WAS,RB,,174,203,232,,,
Pat Freiermuth,PIT,TE,202,2433,201,235,,,178.8
Bryce Young,CAR,QB,193,221,202,202,,,161.8
Eli Stowers,PHI,TE,307,154,216,230,,,
Daniel Jones,IND,QB,159,219,187,176,172.8,169.2,159.8
Travis Hunter,JAC,WR,112,175,154,148,164.9,162.9,164.9
Devin Neal,NO,RB,,189,926,184,,,
Fernando Mendoza,LV,QB,184,208,164,156,161.0,149.8,168.6
Adonai Mitchell,NYJ,WR,,180,198,216,162.1,161.8,165.8
Jacoby Brissett,ARI,QB,,227,222,248,,,174.9
Terrance Ferguson,LAR,TE,175,157,181,178,,188.2,163.4
Kaelon Black,SF,RB,,1854,155,187,153.2,159.9,160.5
Ty Johnson,BUF,RB,,2969,801,3037,,,181.2
Ray Davis,BUF,RB,,186,183,199,160.6,,164.8
Trey Benson,ARI,RB,298,126,240,284,,,
Jalen Tolbert,MIA,WR,,1462,634,2191,,,
Jordan James,SF,RB,,1729,196,2330,,,157.0
Deshaun Watson,CLE,QB,,999,723,1938,,,
Tre Tucker,LV,WR,190,207,162,174,126.6,129.0,131.9
Tank Dell,HOU,WR,155,206,163,154,150.1,154.3,156.9
Emanuel Wilson,SEA,RB,,178,244,272,,,
Jaylen Wright,MIA,RB,,194,206,262,,,
Demond Claiborne,MIN,RB,,196,211,245,,,
Mason Taylor,NYJ,TE,,151,795,196,,,
Kendre Miller,NO,RB,,200,863,198,,,
Colby Parkinson,LAR,TE,,149,237,276,,,
Tre' Harris,LAC,WR,,199,200,214,164.2,174.7,167.4
De'Zhaun Stribling,SF,WR,144,237,121,125,124.3,128.9,131.5
Isaac TeSlaa,DET,WR,,203,189,197,149.7,,
Zachariah Branch,ATL,WR,,205,190,168,,,
Brashard Smith,KC,RB,,202,807,200,,,
Malachi Fields,NYG,WR,,234,193,191,,,167.2
Elic Ayomanor,TEN,WR,,204,1046,241,,,
Jaydon Blue,DAL,RB,,209,186,211,,154.2,164.1
Justin Fields,KC,QB,316,1827,905,2378,,,
Brandon Aiyuk,SF,WR,275,197,247,275,,,
Audric Estime,NO,RB,,210,982,226,,,
Caleb Douglas,MIA,WR,217,576,177,185,158.7,167.8,168.6
Jaylin Noel,HOU,WR,,211,776,186,,,166.0
Ja'Kobi Lane,BAL,WR,185,187,145,140,151.5,162.2,157.4
Tua Tagovailoa,ATL,QB,,241,232,223,,,
Jarquez Hunter,LAR,RB,,213,1036,237,,,
Jake Tonges,SF,TE,,198,225,240,,,
Marvin Mims,DEN,WR,,214,1057,190,,,
Michael Penix,ATL,QB,,240,1003,205,,,
Darnell Mooney,NYG,WR,,216,234,269,,,
Darnell Washington,PIT,TE,221,884,841,1867,,,
Devin Singletary,NYG,RB,432,1025,751,1949,,,
Shedeur Sanders,CLE,QB,220,239,892,222,,,
Kyle Williams,NE,WR,289,217,909,193,,,
Mike Gesicki,CIN,TE,,2294,748,2642,,,
Troy Franklin,DEN,WR,,191,241,243,,189.7,182.1
Kaleb Johnson,PIT,RB,,193,983,188,,,
Najee Harris,LAC,RB,,190,656,189,,,163.0
Tory Horton,SEA,WR,,223,235,206,,,
Chimere Dike,TEN,WR,,195,738,209,,,144.3
Ryan Flournoy,DAL,WR,,222,207,213,164.1,157.0,171.8
Evan Engram,DEN,TE,,1208,1051,2057,,,
Pat Bryant,DEN,WR,,192,184,201,,,151.7
Germie Bernard,PIT,WR,,215,214,212,,,175.6
J.J. McCarthy,MIN,QB,227,238,716,195,,,
Dontayvion Wicks,PHI,WR,,1088,179,1985,151.6,174.0,167.8
LeQuint Allen,JAC,RB,,2066,959,2515,,,
Chris Brazzell,CAR,WR,,243,953,443,,,
Keenan Allen,LAC,WR,177,228,156,172,140.2,137.7,132.9
Alexander Mattison,,RB,,309,1099,835,,,
Kareem Hunt,,RB,372,1873,529,2404,,,
Jahan Dotson,ATL,WR,,1412,930,2162,,,
Rashod Bateman,BAL,WR,,226,1059,217,131.9,133.2,153.8
Max Klare,LAR,TE,471,235,999,265,,,
Cyrus Allen,KC,WR,213,799,157,151,155.0,158.6,148.1
Cooper Kupp,SEA,WR,200,230,178,192,154.1,152.7,153.2
Michael Trigg,DAL,TE,,236,958,270,,,
Ted Hurst,TB,WR,,218,205,233,,,
Christian Kirk,SF,WR,251,233,986,242,,,
Chris Bell,MIA,WR,,225,195,238,,,
Keon Coleman,BUF,WR,,229,209,220,,,
