name,pos,team,room_rank,room_ahead,room_ahead_gap,room_behind,room_behind_gap,rook_pick,rook_name
Zach Horton,TE,DET,4,Brock Wright,,,,,
Jakobie Keeney-James,WR,GB,7,Savion Williams,,,,,
Jackson Meeks,WR,DET,9,Dominic Lovett,,,,168,Kendrick Law
Kye Robichaux,RB,DET,6,Jabari Small,,,,,
Anthony Tyus III,RB,CAR,3,Jonathon Brooks,,,,,
Brady Cook,QB,NYJ,2,Bailey Zappe,,,,110,Cade Klubnik
Donovan Edwards,RB,MIA,4,Carlos Washington,,,,,
Jamaal Pritchett,WR,NYJ,6,Isaiah Williams,,,,30,Omar Cooper Jr.
Quentin Skinner,WR,NYJ,7,Jamaal Pritchett,,,,30,Omar Cooper Jr.
Connor Bazelak,QB,TB,3,Jake Browning,,,,,
Garrett Greene,WR,TB,9,Tez Johnson,,,,84,Ted Hurst
Josh Williams,RB,TB,4,Sean Tucker,,,,,
Dalen Cambre,WR,NYG,14,Jalin Hyatt,,,,74,Malachi Fields
Beaux Collins,WR,NYG,15,Dalen Cambre,,,,74,Malachi Fields
Courtney Jackson,WR,TEN,10,Bryce Oliver,,,,4,Carnell Tate
Luke Grimm,WR,LAC,7,KeAndre Lambert-Smith,,,,105,Brenen Thompson
DJ Uiagalelei,QB,LAC,3,Trey Lance,,,,,
Raheim Sanders,RB,CLE,4,Michael Burton,,,,,
Ulysses Bentley IV,RB,IND,2,Jonathan Taylor,,,,237,Seth McGowan
Carter Runyon,TE,LV,5,Michael Mayer,,,,,
Max Brosmer,QB,MIN,4,Carson Wentz,,,,,
Dontae Fleming,WR,MIN,6,Tai Felton,,,,,
Bryson Nesbit,TE,MIN,4,Gavin Bartholomew,,,,159,Max Bredeson
Myles Price,WR,MIN,7,Dontae Fleming,,,,,
Ben Yurosek,TE,MIN,5,Bryson Nesbit,,,,159,Max Bredeson
Xavier Restrepo,WR,TEN,11,Courtney Jackson,,,,4,Carnell Tate
JJ Galbreath,TE,PIT,3,Jaheim Bell,,,,169,Riley Nowakowski
Ke'Shawn Williams,WR,CIN,9,Jordan Moore,,,,140,Colbie Young
Nate Carter,RB,ATL,4,Tyler Goodson,,,,,
Nick Nash,WR,WAS,9,Jacoby Jones,,,,71,Antonio Williams
Joshua Simon,TE,ATL,4,Charlie Woerner,,,,,
Corey Kiner,RB,ARI,6,Bam Knight,,,,3,Jeremiyah Love
Isaiah Neyor,WR,GB,8,Jakobie Keeney-James,,,,,
Efton Chism III,WR,NE,7,DeMario Douglas,,,,,
CJ Dippre,TE,NE,3,Julian Hill,,,,95,Eli Raridon
Brock Lampe,RB,NE,6,Terrell Jennings,,,,245,Jam Miller
Lan Larison,RB,NE,7,Brock Lampe,,,,245,Jam Miller
Jeremiah Webb,WR,NE,8,Efton Chism III,,,,,
Gee Scott Jr.,WR,NYJ,8,Quentin Skinner,,,,30,Omar Cooper Jr.
Dont'e Thornton Jr.,WR,LV,9,Shedrick Jackson,,,,195,Malik Benson
Arian Smith,WR,NYJ,9,Gee Scott Jr.,,,,30,Omar Cooper Jr.
Woody Marks,RB,HOU,2,David Montgomery,82,,,,
Gunnar Helm,TE,TEN,1,,,,,225,Jaren Kanak
Jaydon Blue,RB,DAL,2,Javonte Williams,183,,,,
Kurtis Rourke,QB,SF,3,Mac Jones,,,,,
Konata Mumpfield,WR,LA,6,Jordan Whittington,,,,197,CJ Daniels
Brennan Presley,WR,LA,7,Konata Mumpfield,,,,197,CJ Daniels
Mark Redman,TE,LA,6,Davis Allen,,,,61,Max Klare
Jordan Waters,RB,LA,5,Ronnie Rivers,,,,,
Mario Williams,WR,LA,8,Brennan Presley,,,,197,CJ Daniels
