name,pos,pred_ppg,ppg,age,cap_pct,room_share,room_rank,room_ahead,room_ahead_gap,room_behind,room_behind_gap,rook_pick,rook_name
Mac Jones,QB,9.0864537855294,11.0,27.98904859685147,0.9000000000000001,0.10882002277293652,2,Brock Purdy,,,,,
Alvin Kamara,RB,9.068750988194614,8.454545454545455,31.104722792607802,3.3000000000000003,0.510519341932267,2,Travis Etienne,99,Devin Neal,68,,
Michael Pittman,WR,9.05463612562629,11.470588235294118,28.906228610540726,2.8,0.18837779722459996,2,DK Metcalf,6,Germie Bernard,94,47,Germie Bernard
Hunter Henry,TE,9.029063799499111,9.941176470588236,31.734428473648187,3.3000000000000003,0.7199754901960784,1,,,,,95,Eli Raridon
Troy Franklin,WR,8.988650345550136,9.823529411764707,23.567419575633128,0.4,0.04286506396951603,3,Courtland Sutton,124,Marvin Mims Jr.,26,,
Aaron Jones,RB,8.959246076606105,9.25,31.748117727583846,3.3000000000000003,0.6004116436342252,1,,,Jordan Mason,32,198,Demond Claiborne
Tre Tucker,WR,8.799861703295576,8.882352941176471,25.4839151266256,1.2,0.18969532516242912,1,,,Jalen Nailor,24,195,Malik Benson
Dalton Schultz,TE,8.757080820812574,9.941176470588236,30.140999315537304,3.1,0.6635628132144689,1,,,,,59,Marlin Klein
Tyrone Tracy Jr.,RB,8.736869597078247,9.8,26.77344284736482,0.4,0.11488953264841781,2,Cam Skattebo,125,,,,
Keon Coleman,WR,8.644579459627229,8.083333333333334,23.293634496919918,0.9000000000000001,0.0826092871838006,3,Khalil Shakir,131,,,125,Skyler Bell
Luther Burden III,WR,8.60139833807409,7.866666666666666,22.72142368240931,0.8,0.15375868431625336,2,Rome Odunze,3,,,89,Zavion Thomas
Travis Kelce,TE,8.592414597983844,10.882352941176471,36.90622861054072,1.6,0.328771688019368,1,,,,,,
Jayden Higgins,WR,8.510405783581296,7.176470588235294,23.71252566735113,0.9000000000000001,0.08263510499309965,2,Nico Collins,114,Tank Dell,20,204,Lewis Bond
Ricky Pearsall,WR,8.476849728182332,9.222222222222221,25.976728268309376,1.0,0.1824247464438766,2,Mike Evans,47,De'Zhaun Stribling,53,33,De'Zhaun Stribling
Dalton Kincaid,TE,8.462290299527476,10.0,26.872005475701574,1.4,0.26720493260615813,1,,,,,,
Justin Fields,QB,8.440525194582778,14.88888888888889,27.49349760438056,1.0,0.07760181824164213,4,Garrett Nussmeier,,,,249,Garrett Nussmeier
Cooper Kupp,WR,8.429539013269748,6.8125,33.21286789869952,5.6,0.4135521537912163,3,Rashid Shaheed,41,Tory Horton,14,199,Emmanuel Henderson Jr.
