,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN PPR,Sleeper PPR,Y PPR,Average,AVGvFP,Landmine,Round,Pick
,Jayden Daniels,WAS,7,QB,56,44,55,59,56,56.7,0.29,5.5,,56
,TreVeyon Henderson,NE,11,RB,57,56,59,48,63,56.7,0.01,5.5,,57
,D'Andre Swift,CHI,10,RB,62,61,61,63,47,57,-0.07,5.4,,58
,David Montgomery,HOU,8,RB,61,64,62,54,55,57,-0.11,5.4,,59
,Bhayshul Tuten,JAC,7,RB,69,78,60,,60,60,-0.23,4.4,,60
,Carnell Tate,TEN,9,WR,54,75,51,61,69,60.3,-0.2,5.7,6,61
,Joe Burrow,CIN,6,QB,59,46,74,56,53,61,0.33,5.3,,62
,Jalen Hurts,PHI,10,QB,60,57,58,64,64,62,0.09,5.6,,63
,Mike Evans,SF,8,WR,63,48,76,57,61,64.7,0.35,5.3,,64
,Christian Watson,GB,11,WR,66,54,78,66,50,64.7,0.2,5.3,,65
,Jadarian Price,SEA,11,RB,65,82,63,79,66,69.3,-0.15,5.6,,66
,Brian Thomas,JAC,7,WR,75,65,81,69,65,71.7,0.1,5.3,,67
,Marvin Harrison,ARI,14,WR,68,87,68,74,73,71.7,-0.18,5.6,,68
,Harold Fannin,CLE,11,TE,67,70,72,60,85,72.3,0.03,5.5,,69
,Jordyn Tyson,NO,8,WR,64,109,70,68,81,73,-0.33,5.6,,70
,DK Metcalf,PIT,9,WR,70,66,69,71,80,73.3,0.11,5.6,,71
