,Name,Team,BYE,Pos,ADP,FantasyPros,CBS,CBSvFP,Landmine,Round,Pick
,Zay Flowers,BAL,13,WR,35,31,34,0.1,5.4,,34
,D'Andre Swift,CHI,10,RB,57,52,35,-0.33,7,,35
,Cam Skattebo,NYG,8,RB,45,60,36,-0.4,6.7,,36
,Tee Higgins,CIN,6,WR,38,36,37,0.03,5.5,4,37
,Breece Hall,NYJ,13,RB,30,39,38,-0.03,5.2,,38
,Ladd McConkey,LAC,7,WR,39,33,39,0.18,5.3,,39
,Lamar Jackson,BAL,13,QB,40,27,40,0.48,5.3,,40
,Colston Loveland,CHI,10,TE,42,35,41,0.17,5.4,,41
,Tetairoa McMillan,CAR,5,WR,34,37,42,0.14,5.3,,42
,Bucky Irving,TB,10,RB,46,55,43,-0.22,5.9,,43
,Emeka Egbuka,TB,10,WR,41,42,44,0.05,5.3,,44
