,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN,ESPNvFP,Landmine,Round,Pick
,Gunnar Helm,TEN,9,TE,211,209,191,-0.09,6.9,,190
,Chig Okonkwo,WAS,7,TE,181,162,192,0.19,4,,191
,AJ Barner,SEA,11,TE,189,178,193,0.08,4.8,,192
,Bryce Young,CAR,5,QB,208,172,194,0.13,5.3,17,193
,Cam Ward,TEN,9,QB,201,156,195,0.25,4.5,,194
,Jacoby Brissett,ARI,14,QB,216,203,196,-0.03,6.2,,195
,Samaje Perine,CIN,6,RB,249,219,198,-0.1,8.2,,196
,Malik Washington,MIA,6,WR,228,179,200,0.12,5.8,,197
,Malik Davis,DAL,14,RB,221,184,201,0.09,5.6,,198
,Cooper Kupp,SEA,11,WR,227,207,203,-0.02,6.6,,199
,Chris Bell,MIA,6,WR,206,217,208,-0.04,5.8,,200
