season,week,player_id,name,position,team,air_yds,pass_air_yds,pass_att,pass_i10,pass_rz,rush_att,rush_i10,rush_i5,rush_rz,tgt,tgt_deep,tgt_ez,tgt_i10,tgt_rz,ep_std,pts_std,ewma_ep_pre_std,ewma_ep_std,ep_half,pts_half,ewma_ep_pre_half,ewma_ep_half,ep_ppr,pts_ppr,ewma_ep_pre_ppr,ewma_ep_ppr,ep_std6,pts_std6,ewma_ep_pre_std6,ewma_ep_std6,ep_half6,pts_half6,ewma_ep_pre_half6,ewma_ep_half6,ep_ppr6,pts_ppr6,ewma_ep_pre_ppr6,ewma_ep_ppr6,seeded_from_prior,passing_tds
2026,1,00-0040691,Jaxson Dart,QB,NYG,0.00000000,245.00000000,29.00000000,2.00000000,7.00000000,8.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,18.23402987,26.60000000,15.34100531,16.35356391,18.24317086,26.60000000,15.34501495,16.35936952,18.25231184,26.60000000,15.34902459,16.36517513,21.26274400,32.60000000,17.38984666,18.74536073,21.27188498,32.60000000,17.39385630,18.75116634,21.28102597,32.60000000,17.39786593,18.75697195,true,3
2026,2,00-0040691,Jaxson Dart,QB,NYG,0.00000000,47.00000000,5.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.39223094,0.80000000,16.35356391,11.46709737,2.39498153,0.80000000,16.35936952,11.47183372,2.39773212,0.80000000,16.36517513,11.47657008,3.02119568,0.80000000,18.74536073,13.24190296,3.02394627,0.80000000,18.75116634,13.24663931,3.02669686,0.80000000,18.75697195,13.25137567,true,0
2026,1,00-0040705,Chimere Dike,WR,TEN,3.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.59076416,0.70000000,5.06093950,3.49637813,0.93987527,1.20000000,6.50720586,4.55864016,1.28898639,1.70000000,7.95347223,5.62090218,0.59217475,0.70000000,5.06543571,3.49979438,0.94128587,1.20000000,6.51170207,4.56205640,1.29039698,1.70000000,7.95796844,5.62431843,true,0
2026,1,00-0040715,Cam Skattebo,RB,NYG,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,18.00000000,2.00000000,2.00000000,4.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,13.18189436,14.10000000,11.55799147,12.12635748,13.18426528,14.10000000,13.13737607,13.15378729,13.18663619,14.10000000,14.71676067,14.18121710,13.19130650,14.10000000,11.56182710,12.13214489,13.19367742,14.10000000,13.14121170,13.15957470,13.19604833,14.10000000,14.72059630,14.18700451,true,0
2026,2,00-0040715,Cam Skattebo,RB,NYG,-4.00000000,0.00000000,0.00000000,0.00000000,0.00000000,12.00000000,1.00000000,0.00000000,1.00000000,4.00000000,0.00000000,0.00000000,0.00000000,0.00000000,8.88258163,5.50000000,12.12635748,10.99103593,10.48576489,7.50000000,13.15378729,12.21997945,12.08894815,9.50000000,14.18121710,13.44892297,8.88656301,5.50000000,12.13214489,10.99619123,10.48974627,7.50000000,13.15957470,12.22513475,12.09292953,9.50000000,14.18700451,13.45407827,true,0
2026,1,00-0040719,Bhayshul Tuten,RB,JAX,-5.00000000,0.00000000,0.00000000,0.00000000,0.00000000,15.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,8.32103037,8.80000000,4.54011158,5.86343316,8.73109013,9.30000000,4.90021861,6.24102364,9.14114989,9.80000000,5.26032565,6.61861413,8.32806557,8.80000000,4.54214385,5.86721645,8.73812533,9.30000000,4.90225089,6.24480694,9.14818509,9.80000000,5.26235792,6.62239743,true,0
2026,2,00-0040719,Bhayshul Tuten,RB,JAX,-8.00000000,0.00000000,0.00000000,0.00000000,0.00000000,13.00000000,1.00000000,1.00000000,2.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,11.13416654,12.20000000,5.86343316,7.70818984,11.96205161,13.20000000,6.24102364,8.24338343,12.78993668,14.20000000,6.61861413,8.77857702,11.14184434,12.20000000,5.86721645,7.71333621,11.96972941,13.20000000,6.24480694,8.24852980,12.79761448,14.20000000,6.62239743,8.78372340,true,0
2026,1,00-0040727,Tre Harris,WR,LAC,47.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,6.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.90895247,2.00000000,2.68476052,3.46322770,6.97751401,3.50000000,3.54757550,4.74805398,9.04607555,5.00000000,4.41039048,6.03288026,4.91019941,2.00000000,2.68719064,3.46524371,6.97876095,3.50000000,3.55000562,4.75006998,9.04732249,5.00000000,4.41282060,6.03489626,true,0
2026,2,00-0040727,Tre Harris,WR,LAC,56.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000,2.00000000,0.00000000,0.00000000,0.00000000,3.57714715,5.30000000,3.46322770,3.50309951,4.34399168,5.80000000,4.74805398,4.60663217,5.11083621,6.30000000,6.03288026,5.71016484,3.57939911,5.30000000,3.46524371,3.50519810,4.34624363,5.80000000,4.75006998,4.60873076,5.11308816,6.30000000,6.03489626,5.71226343,true,0
2026,1,00-0040729,Jack Bech,WR,LV,32.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.00000000,0.00000000,0.00000000,0.00000000,2.00000000,3.77677833,8.30000000,2.13593317,2.71022898,5.12812169,9.80000000,2.93199635,3.70064022,6.47946504,11.30000000,3.72805953,4.69105146,3.77931664,8.30000000,2.13750822,2.71214117,5.13066000,9.80000000,2.93357140,3.70255241,6.48200335,11.30000000,3.72963458,4.69296365,true,0
