,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN,ESPNvFP,Landmine,Round,Pick
,Terry McLaurin,WAS,7,WR,51,40,48,0.2,5.3,,48
,Colston Loveland,CHI,10,TE,45,42,49,0.17,5.3,5,49
,Tyler Warren,IND,13,TE,57,69,50,-0.28,6.2,,50
,Jaylen Waddle,DEN,10,WR,48,45,51,0.13,5.2,,51
,DJ Moore,BUF,7,WR,58,71,52,-0.27,6.4,,52
,Carnell Tate,TEN,9,WR,60,81,53,-0.35,6.8,,53
,Luther Burden,CHI,10,WR,52,57,54,-0.05,5.5,,54
,Jayden Daniels,WAS,7,QB,55,44,55,0.25,5.1,,55
,Lamar Jackson,BAL,13,QB,38,28,56,1,4.4,,56
,Drake Maye,NE,11,QB,49,27,57,1.11,4.1,,57
,Jalen Hurts,PHI,10,QB,62,61,58,-0.05,5.7,,58
,Bhayshul Tuten,JAC,7,RB,65,70,59,-0.16,6.1,,59
,TreVeyon Henderson,NE,11,RB,53,55,60,0.09,5.1,,60
,D'Andre Swift,CHI,10,RB,54,59,61,0.03,5.2,6,61
,David Montgomery,HOU,8,RB,56,62,62,0,5.3,,62
,Jadarian Price,SEA,11,RB,68,68,63,-0.07,5.8,,63
,Tony Pollard,TEN,9,RB,66,73,64,-0.12,5.7,,64
,Courtland Sutton,DEN,10,WR,69,72,65,-0.1,5.9,,65
,Alec Pierce,IND,13,WR,73,76,66,-0.13,6.1,,66
,Mike Evans,SF,8,WR,64,50,67,0.34,4.8,,67
,Marvin Harrison,ARI,14,WR,72,84,68,-0.19,6.3,,68
,DK Metcalf,PIT,9,WR,70,65,69,0.06,5.4,,69
,Christian Watson,GB,11,WR,63,48,70,0.46,4.4,,70
,Kyle Pitts,ATL,11,TE,75,91,71,-0.22,6.4,,71
,Harold Fannin,CLE,11,TE,71,74,72,-0.03,5.5,,72
,George Kittle,SF,8,TE,102,98,73,-0.26,7.5,7,73
,Joe Burrow,CIN,6,QB,61,46,74,0.61,4.2,,74
