Player,Team,POS,Average_ADP,Depth,ESPN_ADP
Calvin Austin,PIT,WR93,284,WR3,208
Devin Singletary,NYG,RB85,284.5,RB3,
Kayshon Boutte,NE,WR95,285,WR4,
Malik Washington,MIA,WR102,285,WR3,
Cam Akers,NO,RB88,286,RB4,
Jalen Coker,CAR,WR90,287,WR4,241
Ty Johnson,BUF,RB89,288,RB3,
Jalen Tolbert,DAL,WR99,289,WR3,
Cleveland Browns,DST,DST26,289,DST26,
Christian Watson,GB,WR103,289,WR5,
Brandin Cooks,NO,WR100,289.5,WR3,
KeAndre Lambert-Smith,LAC,WR105,291,WR5,
Taysom Hill,NO,TE38,291,TE2,
Indianapolis Colts,DST,DST27,292,DST27,
Efton Chism,NE,WR106,292,WR5,
Las Vegas Raiders,DST,DST28,293,DST28,
Audric Estime,DEN,RB87,294,RB4,
Jake Moody,SF,K19,294,K1,
Noah Brown,WAS,WR107,295,WR3,
Jacksonville Jaguars,DST,DST29,296,DST29,
KaVontae Turpin,DAL,WR108,296,WR4,
Khalil Herbert,IND,RB90,297,RB3,
Diontae Johnson,CLE,WR98,297,WR3,
New Orleans Saints,DST,DST30,298,DST30,
Samaje Perine,CIN,RB91,298,RB3,
Daniel Carlson,LV,K18,299,K1,
Will Reichard,MIN,K20,299,K1,
Tyler Higbee,LAR,TE42,302,TE2,
Noah Fant,CIN,TE39,302,TE2,
Tanner McKee,PHI,QB40,303,QB2,
Curtis Samuel,BUF,WR110,306,WR4,
Tutu Atwell,LAR,WR104,306,WR3,
Tre Tucker,LV,WR111,306,WR4,
Mitchell Tinsley,CIN,WR112,308,WR4,
Oronde Gadsden,LAC,TE40,308,TE2,
Jordan Whittington,LAR,WR101,308.5,WR4,
Demarcus Robinson,SF,WR113,312,WR4,
Ben Sinnott,WAS,TE41,312.5,TE2,
Marquez Valdes-Scantling,SEA,WR109,313,WR4,
Jalen Nailor,MIN,WR114,314,WR3,
Joshua Karty,LAR,K21,316,K1,
Isaiah Bond,CLE,WR115,318,WR4,
Kenneth Gainwell,PIT,RB93,321,RB3,
Damien Martinez,SEA,RB92,321,RB3,
Emanuel Wilson,GB,RB94,323,RB3,
Jermaine Burton,CIN,WR116,324,WR5,
Elijah Moore,BUF,WR117,326,WR5,
Devaughn Vele,NO,WR118,328,WR4,
LeQuint Allen,JAC,RB95,334,RB4,
Tai Felton,MIN,WR119,336,WR4,
Kimani Vidal,LAC,RB96,337,RB3,
Isaiah Davis,NYJ,RB97,338,RB3,
Jameis Winston,NYG,QB41,342,QB3,
Parker Washington,JAC,WR120,343,WR4,
Phil Mafah,DAL,RB98,344,RB4,
,,UNK,,NO TEAM,
,,UNK,,NO TEAM,
