Player,Team,POS,Average_ADP,Depth,Depth_Rank
Ka'imi Fairbairn,HOU,K4,212.5,K1,1
Chris Rodriguez,WAS,RB78,213.0,RB2,2
DJ Giddens,IND,RB64,213.5,RB2,2
Pat Bryant,DEN,WR75,214.0,WR3,3
Jacory Croskey-Merritt,WAS,RB65,214.0,RB3,3
Brashard Smith,KC,RB66,215.0,RB3,3
MarShawn Lloyd,GB,RB67,215.5,RB2,2
Woody Marks,HOU,RB68,216.0,RB3,3
Jaxson Dart,NYG,QB31,218.5,QB2,2
Washington Commanders,DST,DST11,222.0,DST11,11
Elijah Arroyo,SEA,TE28,223.0,TE1,1
Harrison Butker,KC,K5,223.0,K1,1
Ja'Tavion Sanders,CAR,TE29,225.0,TE1,1
Ollie Gordon,MIA,RB69,225.0,RB3,3
Tyler Shough,NO,QB32,226.0,QB1,1
Daniel Jones,IND,QB33,226.5,QB2,2
Miles Sanders,DAL,RB70,226.5,RB3,3
Shedeur Sanders,CLE,QB34,230.5,QB1,1
Darren Waller,MIA,TE30,230.5,TE1,1
Brandon McManus,GB,K14,231.0,K1,1
Tahj Brooks,CIN,RB71,232.0,RB2,2
Sean Tucker,TB,RB82,233.0,RB3,3
Keaton Mitchell,BAL,RB72,233.5,RB3,3
Chase McLaughlin,TB,K6,238.0,K1,1
Jaylin Noel,HOU,WR76,238.5,WR4,4
Cam Little,JAC,K15,239.0,K1,1
Los Angeles Rams,DST,DST12,239.0,DST12,12
Tennessee Titans,DST,DST20,240.0,DST13,13
Spencer Rattler,NO,QB38,241.0,QB2,2
Tyler Bass,BUF,K7,242.5,K1,1
Jalen Royals,KC,WR77,242.5,WR4,4
Ray-Ray McCloud,ATL,WR91,243.0,WR3,3
Juwan Johnson,NO,TE31,244.0,TE1,1
Dont'e Thornton,LV,WR78,244.0,WR3,3
Devin Neal,NO,RB73,244.5,RB2,2
New York Giants,DST,DST13,245.0,DST14,14
Cole Kmet,CHI,TE32,245.5,TE2,2
Michael Wilson,ARI,WR79,246.0,WR2,2
Tampa Bay Buccaneers,DST,DST14,246.5,DST15,15
A.J. Dillon,PHI,RB84,247.0,RB3,3
Arizona Cardinals,DST,DST22,248.0,DST16,16
Joe Flacco,CLE,QB35,248.0,QB2,2
Chris Boswell,PIT,K8,248.0,K1,1
Evan McPherson,CIN,K9,248.5,K1,1
Adonai Mitchell,IND,WR81,251.0,WR4,4
Darius Slayton,NYG,WR82,251.5,WR3,3
Jake Elliott,PHI,K10,251.5,K1,1
Green Bay Packers,DST,DST16,253.0,DST17,17
Terrance Ferguson,LAR,TE33,253.5,TE1,1
Matt Gay,WAS,K17,254.0,K1,1
Isaac TeSlaa,DET,WR83,254.0,WR3,3
Seattle Seahawks,DST,DST15,255.0,DST18,18
Jason Sanders,MIA,K12,255.0,K1,1
Wil Lutz,DEN,K11,255.0,K1,1
Raheem Mostert,LV,RB74,255.5,RB2,2
New York Jets,DST,DST17,256.5,DST19,19
Roman Wilson,PIT,WR84,257.0,WR2,2
Dyami Brown,JAC,WR85,258.0,WR3,3
Elijah Mitchell,KC,RB75,259.0,RB4,4
