Rank,Player,Team,Bye,POS,ESPN_Rank,Sleeper_Rank
57,Jameson Williams,DET,6,WR,58,57
58,Joe Burrow,CIN,6,QB,52,54
59,Terry McLaurin,WAS,7,WR,54,56
60,Tyler Warren,IND,13,TE,45,46
61,Jaylen Warren,PIT,9,RB,92,73
62,Mike Evans,SF,8,WR,79,59
63,Harold Fannin,CLE,11,TE,65,67
64,Jayden Daniels,WAS,7,QB,46,62
65,Rhamondre Stevenson,NE,11,RB,83,85
66,Rome Odunze,CHI,10,WR,60,66
67,Christian Watson,GB,11,WR,88,69
